username	numberOfSongs	release_date	key	minorPercentage	waltzPercentage	duration	explicitPercentage	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo
_total	5926	1998	G	61	9	258	5	17	54	59	-10	7	33	22	20	49	121
axomamma	622	1999	A	50	14	249	3	16	51	54	-11	6	38	35	21	42	118
snurrfint	242	1992	G	77	10	240	0	25	50	48	-11	5	45	14	19	51	117
andershaverdal	639	1981	C	69	9	224	2	16	57	53	-10	7	43	14	20	60	123
thylacoid	35	2011	D	63	20	222	20	32	52	52	-10	8	45	4	21	46	123
spectru	120	2006	F	54	10	289	1	24	54	55	-10	6	40	27	16	44	124
b513948	410	2010	G	51	7	262	9	17	59	65	-8	9	26	27	19	44	121
guliking	502	1999	G	55	10	291	11	21	59	55	-10	11	38	21	19	52	115
malignatius	403	1994	D	67	12	252	2	20	51	56	-11	5	35	17	19	51	119
ndesh	415	2002	A	52	13	291	1	15	51	54	-11	6	39	31	18	45	118
kalasdanne	234	2006	G	59	14	292	1	18	49	45	-14	7	52	40	17	39	117
jiemm	558	1991	A	61	8	264	3	20	50	62	-10	6	27	15	23	51	122
chonsk	54	2006	B	56	4	280	2	22	58	62	-9	6	20	37	24	43	121
reargunner	239	1999	C	75	5	252	1	17	48	66	-9	5	23	10	17	49	124
ekvjohansson	40	2014	C#	68	18	240	33	31	54	44	-12	10	52	23	14	36	112
turitu	203	2008	D	72	7	263	4	11	50	70	-8	7	18	34	20	44	129
k_e	264	2002	C	72	8	232	11	17	51	78	-7	8	13	9	19	51	123
johanholmer	24	2008	F	54	8	258	4	19	59	68	-7	6	21	12	18	48	123
freber	35	2005	A	57	6	241	6	9	52	48	-12	11	51	26	18	47	121
evil.irish	95	2006	G	60	7	233	21	13	51	79	-7	8	16	17	19	48	129
rouzbeh.noori	11	1999	D	9	0	240	0	4	60	36	-12	6	65	10	32	42	99
farbrornix	12	2000	D	58	17	380	8	5	39	76	-8	6	10	43	25	31	132
nancysinatra	16	2003	C	56	0	234	6	8	54	55	-10	10	35	18	13	49	111
hassan_a_	194	2004	G	58	6	278	6	17	60	66	-9	7	25	25	19	52	121
robinbutler	109	2006	C	65	8	252	2	10	52	65	-8	5	23	35	20	36	124
publicnme	33	1997	C	61	0	264	9	17	58	75	-7	6	17	11	20	57	124
osape	47	1961	C	64	0	256	2	7	55	66	-8	7	25	22	21	51	119
bolland	116	2008	B	55	3	258	17	11	63	75	-7	15	12	27	20	50	122
glimglam	32	2009	E	66	3	220	6	10	53	84	-5	8	5	10	26	54	137
cilla_tufvesson	99	2000	A	65	10	237	1	17	55	55	-10	5	41	9	17	51	118
evil_irish	87	2000	A	68	0	244	9	16	56	82	-7	7	6	5	22	56	130
minnamaria	36	2005	C	61	19	246	6	15	52	62	-9	5	31	38	16	37	129
